"filename", "language", "Lua", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\app.js", "JavaScript", 0, 0, 22, 0, 9, 11, 42
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\client\main.lua", "Lua", 173, 0, 0, 0, 0, 17, 190
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\config.lua", "Lua", 7, 0, 0, 0, 0, 0, 7
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\fxmanifest.lua", "Lua", 26, 0, 0, 0, 2, 3, 31
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\html\app.js", "JavaScript", 0, 0, 573, 0, 19, 18, 610
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\html\bk-app.js", "JavaScript", 0, 0, 56, 0, 0, 2, 58
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\html\cards.js", "JavaScript", 0, 0, 350, 0, 2, 42, 394
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\html\deckType.js", "JavaScript", 0, 0, 3, 0, 0, 1, 4
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\html\index.html", "HTML", 0, 137, 0, 0, 0, 5, 142
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\html\style.css", "CSS", 0, 0, 0, 120, 7, 6, 133
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\index.html", "HTML", 0, 18, 0, 0, 4, 2, 24
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\server\class\cards.lua", "Lua", 181, 0, 0, 0, 3, 10, 194
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\server\class\deck.lua", "Lua", 515, 0, 0, 0, 5, 36, 556
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\server\main.lua", "Lua", 94, 0, 0, 0, 4, 11, 109
"h:\Sin\txData\PlumeESX_37706F.base\resources\[lorax]\lr_tienlen\server\utils.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 996, 155, 1004, 120, 55, 165, 2495
